growth_rate of Germany,roll_austria,roll_belgium,roll_china,roll_denmark,roll_finland,roll_france,roll_greece,roll_iceland,roll_ireland,roll_italy,roll_japan,roll_luxembourg,roll_malta,roll_netherlands,roll_norway,roll_portugal,roll_spain,roll_sweden,roll_switzerland,roll_united_kingdom,roll_united_states
0.040409538,0.721172558,0.593097033,0.808721786,0.892277322,0.099715258,0.794125125,0.731910105,0.73670414,0.50502498,0.751906639,0.632100436,0.65836708,0.075925514,0.716806975,0.453537265,0.830072885,0.312729699,-0.228454222,0.335084492,0.881185767,0.941060737
0.014742282,0.709849871,0.583617366,0.773340554,0.752710836,0.109882726,0.750543313,0.721373824,0.791942028,0.554134801,0.824994485,0.517922836,0.66655995,0.309112999,0.713561382,0.459836933,0.828406261,0.082874728,-0.266149223,0.291523895,0.728211932,0.843744877
0.00486619,0.633173331,0.517668288,0.799602722,0.62192362,-0.007681609,0.70799912,0.6851444,0.79443731,0.477583195,0.804263295,0.455331763,0.620425103,0.297007429,0.632918778,0.37301249,0.804367577,-0.217172165,-0.391432737,0.303905296,0.603085326,0.816818761
-0.00486619,0.680005354,0.581035772,0.724890291,0.690172193,0.051958973,0.706056036,0.716055027,0.675063301,0.363092057,0.87576994,0.549232154,0.404287451,0.206620035,0.717006198,0.536025313,0.730274301,0.026455704,-0.209633957,0.36773185,0.690722062,0.849715563
0.014528101,0.613075652,0.640504378,0.766005034,0.657400257,-0.084959756,0.712925185,0.728513639,0.742497019,0.566475654,0.900538636,0.793652639,0.203936793,0.53101025,0.787092164,0.697560521,0.743668818,0.175554378,-0.071304754,0.318014412,0.68278038,0.865949009
0.028437935,0.664483291,0.77053854,0.769281455,0.561757306,-0.201233125,0.857322513,0.956217601,0.76221273,0.647714078,0.939164292,0.809661987,-0.029500144,0.909986009,0.809265593,0.681812399,0.750731061,0.249747459,-0.148309366,0.363803611,0.69587285,0.800697187
0.023095715,0.648142868,0.781350475,0.753745435,0.195726354,-0.042625261,0.801471754,0.944018172,0.741099772,0.687219362,0.928301341,0.878908502,-0.48589473,0.862207742,0.888007164,0.49912607,0.701259207,0.574581041,0.192023095,0.227405947,0.668975205,0.678262453
0.022574322,0.685076355,0.885598601,0.726916791,-0.074555538,-0.107996656,0.815990423,0.940994077,0.699791045,0.769260901,0.949880784,0.897226099,-0.598165373,0.866823532,0.91331546,0.273479301,0.733494078,0.710317667,0.105695851,0.148552061,0.608006936,0.587664177
0.013303966,0.801003485,0.897243967,0.518432187,-0.198475186,-0.212414639,0.841768007,0.958633339,0.224012519,0.816838927,0.903343374,0.911463036,-0.696242919,0.889467554,0.901729379,0.097519155,0.715637968,0.658918683,-0.184982718,0.165367726,0.37750429,0.455873099
0.038881788,0.849483559,0.829760233,0.332876721,-0.200660425,-0.122779596,0.77057654,0.971548371,0.135874815,0.809866449,0.859057793,0.621839059,-0.602383199,0.883388663,0.887860587,0.123884285,0.679456845,0.406479782,-0.182230055,0.317362484,0.129027278,0.314896233
0.037426406,0.739440443,0.838847042,0.250316081,-0.469083909,0.065939323,0.524466992,0.922187921,0.150751758,0.762953546,0.726161312,0.342202712,-0.357231069,0.847293319,0.775163238,0.036240413,0.615309539,0.249466029,-0.173163603,0.603984088,-0.19699822,0.069079071
0.051701374,0.686040167,0.816907633,0.330967446,-0.541290961,0.427612147,0.675183992,0.757275139,0.122745992,0.792483053,0.659025618,0.703591291,0.32374291,0.619948633,0.754589162,-0.447485762,0.613890075,0.494299145,0.146803833,0.800605702,0.039250889,0.182135686
0.049159236,0.852607826,0.809054707,0.016617927,-0.482833403,0.170994708,0.679705929,0.761717733,-0.000883273,0.494622572,0.646073798,0.849220237,0.79388838,0.506763665,0.786791986,-0.561453205,0.671408584,0.702462194,0.219300454,0.697697148,0.060222947,-0.044979345
0.018282045,0.88556975,0.810752564,-0.222811566,-0.633815129,-0.247118201,0.685711808,0.75825034,-0.228330917,0.380077518,0.578854158,0.835127244,0.870400235,0.789340617,0.76701819,-0.671211291,0.728152218,0.685773367,-0.119373738,0.597035671,-0.209381568,-0.302417595
-0.010929071,0.985830061,0.740096452,-0.496991279,-0.657711079,-0.267716142,0.660489421,0.672122925,-0.355253619,0.283693547,0.474484566,0.802891887,0.775569157,0.866706642,0.716907546,-0.774969978,0.727171501,0.627746006,-0.221951656,0.520075821,-0.301785072,-0.641670155
0.025317808,0.978855209,0.70478295,-0.603062909,-0.67205907,-0.286523635,0.61898081,0.569833486,-0.447641071,0.250379875,0.387764897,0.730079965,0.719332042,0.84806742,0.625004361,-0.774172047,0.658120812,0.550450629,-0.254404152,0.436892855,-0.401825264,-0.659740906
0.014184635,0.975512697,0.676581224,-0.630913813,-0.64667068,-0.274725845,0.574540495,0.563237145,-0.467414801,0.328334108,0.332643005,0.703402434,0.630210193,0.790231615,0.567389794,-0.763611346,0.616876702,0.479894885,-0.259118157,0.393459598,-0.455519205,-0.58966045
0.007017573,0.972699121,0.655272483,-0.716678402,-0.647750856,-0.218309368,0.548518003,0.632700378,-0.372523202,0.3174377,0.301980799,0.641889723,0.4296924,0.724356733,0.585394557,-0.792016556,0.587970638,0.449380341,-0.185548265,0.42286614,-0.419529446,-0.479154173
0.020761991,0.955507773,0.563872828,-0.492814023,-0.499983257,-0.165188608,0.479416577,0.564892067,-0.090315175,0.274026612,0.279575925,0.524031003,0.026861398,0.53017452,0.565103602,-0.634284028,0.560969117,0.502754563,-0.021184438,0.440349569,-0.350830605,-0.396054119
0.016978337,0.942014974,0.65080709,-0.229542516,-0.440936633,-0.043828834,0.568952426,0.625664787,0.111596535,0.240944994,0.458101127,0.608466508,-0.410981644,0.174704115,0.53683147,-0.654710212,0.623825381,0.655063134,0.170054469,0.501416217,-0.138387138,-0.280958472
0.020000667,0.889992205,0.796105902,-0.052195683,-0.444039737,0.116410173,0.788543577,0.905653988,0.233359692,0.198906244,0.773468322,0.683226504,-0.63465373,-0.100492942,0.48695909,-0.746685188,0.757210893,0.863850909,0.372835064,0.698729173,0.082577633,-0.190481521
0.029270382,0.878634825,0.82397134,-0.125663031,-0.263751478,0.056652731,0.849288836,0.897476627,0.209092223,0.188807081,0.815625166,0.649966755,-0.346994704,0.109005968,0.448990465,-0.664145376,0.758465493,0.94550253,0.357116177,0.858773492,-0.02956097,-0.15223676
0.015898586,0.823697676,0.742832667,-0.133136276,-0.01116938,0.02795968,0.815651636,0.794978839,0.104362019,0.25924798,0.700369014,0.270467143,0.095822579,0.13572515,0.451910117,-0.460702411,0.659761191,0.906614981,0.271037731,0.796497452,0.031677697,0.088817053
-0.00315956,0.72815617,0.649853915,0.048856075,0.347089374,0.400081286,0.835083337,0.414716208,0.478921039,0.4949164,0.758975014,-0.421966687,0.585671926,0.389727874,0.665948973,-0.163457598,0.556501197,0.802046839,0.484869603,0.880598175,0.626272086,0.421430788
-0.006349228,0.769620255,0.752157823,0.070217072,0.663148668,0.369612365,0.74316247,-0.232876069,0.547615415,0.380414295,0.659712994,-0.317839426,0.235470023,0.349160572,0.694753345,0.096203416,0.51675941,0.4743326,0.518866456,0.90240325,0.28785243,0.437421875
0.012658397,0.799305442,0.68036062,-0.048595422,0.789058345,0.510096648,0.640880417,-0.41268005,0.487850877,0.437042819,0.637420055,-0.366325538,0.108198424,0.532187436,0.825050586,0.228838189,0.686800674,0.345444671,0.560968123,0.913964582,0.152605352,0.410920176
0.006269613,0.768673545,0.533909202,-0.247414255,0.662597107,0.593059646,0.537197042,-0.527796049,0.342721707,0.328598615,0.451569053,-0.487366591,-0.069488834,0.596050852,0.915229717,0.227844692,0.812960776,0.169895435,0.426275463,0.858573747,-0.11038373,0.255181175
0.039821494,0.78264827,0.578665184,0.054102156,0.658201566,0.748101587,0.573224456,-0.215963577,0.396366614,0.38500201,0.4933562,-0.176010825,-0.027217842,0.412012684,0.889476602,0.279638783,0.864418901,0.251825828,0.479744225,0.887679568,-0.04122804,0.30214356
0.026668247,0.8667533,0.72434012,0.428057069,0.755782649,0.837998375,0.771618472,0.21405673,0.62498235,0.609539324,0.667547971,0.269536559,0.246373532,0.341474245,0.903127067,0.590251015,0.933411837,0.522336705,0.674419365,0.926709261,0.264783107,0.454405456
0.011628038,0.887788063,0.753902931,0.512380141,0.748440586,0.868258972,0.861689491,0.371331468,0.710446988,0.427439011,0.732451391,0.323404057,0.358993636,0.387025311,0.921837467,0.725779016,0.936432922,0.620936931,0.640963224,0.942328906,0.293480932,0.387778165
-0.059541394,0.891319334,0.827666267,0.525376425,0.862163869,0.928406164,0.935466609,0.060301847,0.597822256,0.736514919,0.91678633,0.655827588,0.04469796,0.624825167,0.870046543,0.788433369,0.8533557,0.569739406,0.83032836,0.816063182,0.67616226,0.708805426
0.042048236,0.890597921,0.822022988,0.580916604,0.84974224,0.92761726,0.911096007,0.185039423,0.639412534,0.691685893,0.93527935,0.699398513,0.079808207,0.752738519,0.87800101,0.765817222,0.790807717,0.695113585,0.828118892,0.790240983,0.708736495,0.697479069
0.037522439,0.909130458,0.839687027,0.73837947,0.759140791,0.919828069,0.87178791,0.203855763,0.543462867,0.44911098,0.929220132,0.705127616,0.348604065,0.386537175,0.842333505,0.600739827,0.709269644,0.632549662,0.850307888,0.767817937,0.590681872,0.594506822
0.002828856,0.924096187,0.848065033,0.781121289,0.71825591,0.899939027,0.84917578,0.163392945,0.520237412,0.34067868,0.851571475,0.741766258,0.452664991,0.296266315,0.779696957,0.599335759,0.438663471,0.48790451,0.81899698,0.78034456,0.552475981,0.583452766
0.005633818,0.916407726,0.828377752,0.77969859,0.702898035,0.874404583,0.833496818,0.183323085,0.506508138,0.361581206,0.769538042,0.727717458,0.338435518,0.417467793,0.730460933,0.589414137,0.386525643,0.43672178,0.794149658,0.805350001,0.592495219,0.583837274
0.022223137,0.866500797,0.802853983,0.773082528,0.688516455,0.823769888,0.843071641,0.19203128,0.489394565,0.393914116,0.721286061,0.74800652,0.242186787,0.433006708,0.673965411,0.596868664,0.349397861,0.400284054,0.794196839,0.827989449,0.62582194,0.611798635
0.013642776,0.840938653,0.851682803,0.787646078,0.774690659,0.834504824,0.910286992,0.222570172,0.546852575,0.472889025,0.775419115,0.843582277,0.031707449,0.389490912,0.661335253,0.675307528,0.37181991,0.449512142,0.86275817,0.808357584,0.764265469,0.767449516
0.024097552,0.802296467,0.834065064,0.721300718,0.82145276,0.8103488,0.893046179,0.165369774,0.528733502,0.447903491,0.763957761,0.844071981,0.165802112,0.393378676,0.640508107,0.660938939,0.340696881,0.415664126,0.881789654,0.775319274,0.775516108,0.80195358
0.023530497,0.732729118,0.818887203,0.626386527,0.802392697,0.769140896,0.904294364,-0.053270203,0.385655963,0.326646419,0.709116206,0.815537912,0.381341494,0.383787533,0.550145514,0.571907954,0.215329113,0.263376123,0.874612655,0.650623702,0.727359896,0.776260747
0.012837147,0.648027653,0.792902688,0.444426394,0.708644745,0.696997962,0.863838173,-0.435211708,0.046128314,0.27754407,0.594019146,0.781689413,0.685585138,0.330223297,0.332793232,0.397255602,0.059458674,-0.008329298,0.850314794,0.564458648,0.631846407,0.693080136
0.00508907,0.514392543,0.413328102,0.23215101,0.502717,0.573666421,0.622289507,0.104078549,0.525596847,0.402953147,0.555702396,0.13247928,0.455625083,0.251401764,0.496501323,0.366759811,0.274364977,0.399659375,0.636241044,0.23348095,0.391023761,0.289438229
